企業ID,企業名,メールアドレス,募集職種,メール用職種,送信日時,送信結果,トラッキングID,エラーメッセージ,件名,担当者メールアドレス,送信エラー
100,八千代電設工業株式会社,info@yachiyo.co.jp,施工管理職,2025-06-23 14:35:16,success,success,100_info@yachiyo.co.jp_20250623143516_7a0085c5,【施工管理職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
101,株式会社マルカン,info@mkgr.jp,提案営業,2025-06-23 14:46:00,skipped,,重複送信防止,【提案営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
101,株式会社マルカン,info@mkgr.jp,提案営業,2025-06-23 14:46:34,skipped,,重複送信防止,【提案営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
102,社会保険労務士法人ＴＳＣ,info@cacgr.co.jp,人事事務,2025-06-23 14:46:05,success,success,102_info@cacgr.co.jp_20250623144605_6c5c578c,【人事事務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
102,社会保険労務士法人ＴＳＣ,info@cacgr.co.jp,人事事務,2025-06-23 14:46:39,skipped,,重複送信防止,【人事事務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
103,セイブ化成株式会社,info@seibu-kasei.co.jp,法人営業職,2025-06-23 14:46:10,success,success,103_info@seibu-kasei.co.jp_20250623144610_3cd07394,【法人営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
104,リッツハウジング株式会社,info@c21-takatsuki-r.jp,営業職,2025-06-23 14:46:15,success,success,104_info@c21-takatsuki-r.jp_20250623144615_6c3496ad,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
105,株式会社アーヴェスト,info@arvest.jp,建築施工管理,2025-06-23 14:46:20,success,success,105_info@arvest.jp_20250623144620_ef56f888,【建築施工管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,,
106,株式会社サンアップ,info@sunup.co.jp,設営スタッフ,設営スタッフ,2025-06-23 18:04:50,skipped,,重複送信防止,【設営スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
107,株式会社アスパーク,info@aspark.co.jp,モノづくり総合職・ITサポート,モノづくり総合職・ITサポート,2025-06-23 18:04:55,skipped,,重複送信防止,【モノづくり総合職・ITサポートの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
108,スイスポートジャパン株式会社,info@swissport.co.jp,空港グランドハンドリング,空港グランドハンドリング,2025-06-23 18:05:00,skipped,,重複送信防止,【空港グランドハンドリングの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
109,細田工業株式会社,info@hosoda.jp,提案営業,提案営業,2025-06-23 18:05:05,skipped,,重複送信防止,【提案営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
110,株式会社マサキ屋,info@masaki-ya.jp,ルート配送ドライバー,ルート配送ドライバー,2025-06-23 18:05:10,success,111_info@masaki-ya.jp_20250623180510_3715905d,,【ルート配送ドライバーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
111,株式会社海部建設,info@kaifukensetsu.com,建築ディレクター,建築ディレクター,2025-06-23 18:05:15,success,112_info@kaifukensetsu.com_20250623180515_e5cbba37,,【建築ディレクターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
112,日大工業株式会社,info@nichidai.net,メーカー営業,メーカー営業,2025-06-23 18:05:21,success,113_info@nichidai.net_20250623180520_5dc13d66,,【メーカー営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
113,有限会社大東管工,info@daitou-kankou.jp,配管設備の技術スタッフ,配管設備の技術スタッフ,2025-06-23 18:05:26,success,114_info@daitou-kankou.jp_20250623180526_580b84bd,,【配管設備の技術スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
114,株式会社エステム建築事務所,info@estem-ao.co.jp,建築積算スタッフ,建築積算スタッフ,2025-06-23 18:05:31,success,115_info@estem-ao.co.jp_20250623180531_ec5a6317,,【建築積算スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
115,株式会社トライトキャリア,info@tryt-group.co.jp,キャリアコーディネーター,キャリアコーディネーター,2025-06-23 18:05:36,success,116_info@tryt-group.co.jp_20250623180536_9a6a4985,,【キャリアコーディネーターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
116,株式会社ダスキン,info@duskin.co.jp,営業職,営業職,2025-06-23 18:05:41,success,117_info@duskin.co.jp_20250623180541_a1cfc9e7,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
117,株式会社チクマ,info@chikuma.co.jp,ルート営業,ルート営業,2025-06-23 18:05:46,success,118_info@chikuma.co.jp_20250623180546_304b7dcb,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
118,株式会社山口薬品商会,info@yamaguchi-net.com,経理スタッフ,経理スタッフ,2025-06-23 18:05:52,success,119_info@yamaguchi-net.com_20250623180551_53a03308,,【経理スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
119,明和通信工業株式会社,info@meiwa-tsushin.co.jp,設計職,設計職,2025-06-23 18:05:57,success,120_info@meiwa-tsushin.co.jp_20250623180557_089ae368,,【設計職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
120,株式会社小林製作所,info@wink-jp.com,製造管理,製造管理,2025-06-23 18:06:02,success,121_info@wink-jp.com_20250623180602_6b4a0494,,【製造管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
121,株式会社大和屋本店,info@yamatoyahonten.co.jp,責任者候補,責任者候補,2025-06-23 18:06:07,success,122_info@yamatoyahonten.co.jp_20250623180607_8d7d09d4,,【責任者候補の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
122,株式会社西日本設計,info@nishinihon-s.co.jp,設計職,設計職,2025-06-23 18:06:12,success,123_info@nishinihon-s.co.jp_20250623180612_bfe7f69f,,【設計職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
123,株式会社ダイセル,info@daicel.com,法務スタッフ,法務スタッフ,2025-06-23 18:06:17,success,124_info@daicel.com_20250623180617_07c02f88,,【法務スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
124,株式会社アプロワーク,info@apuro-work.com,採用コーディネーター,採用コーディネーター,2025-06-23 18:06:23,success,125_info@apuro-work.com_20250623180622_b0895d23,,【採用コーディネーターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
125,小厚化成株式会社,info@shocoh.co.jp,製造スタッフ,製造スタッフ,2025-06-23 18:06:28,success,126_info@shocoh.co.jp_20250623180628_26ebdb8a,,【製造スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
126,株式会社エスケイジャパン,info@sk-japan.co.jp,ルート営業,ルート営業,2025-06-23 18:06:33,success,127_info@sk-japan.co.jp_20250623180633_7dfc7466,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
127,株式会社NTTデータ関西,info@nttdata-kansai.co.jp,プロジェクトリーダー,プロジェクトリーダー,2025-06-23 18:06:38,success,128_info@nttdata-kansai.co.jp_20250623180638_fa72a7e7,,【プロジェクトリーダーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
128,住友生命保険相互会社,info@sumitomolife.co.jp,管理職候補,管理職候補,2025-06-23 18:06:43,success,129_info@sumitomolife.co.jp_20250623180643_01e84b8c,,【管理職候補の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
129,タイセイ株式会社,info@taisei.ne.jp,営業職,営業職,2025-06-23 18:06:48,success,130_info@taisei.ne.jp_20250623180648_e6824b1c,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
130,嶋田電機株式会社,info@shimadaelec.co.jp,組立スタッフ,組立スタッフ,2025-06-23 18:06:53,success,131_info@shimadaelec.co.jp_20250623180653_70267be4,,【組立スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
131,株式会社カプコン,info@capcom.co.jp,デザイナー,デザイナー,2025-06-23 18:06:59,success,132_info@capcom.co.jp_20250623180658_b6fcfd00,,【デザイナーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
132,株式会社東和総合サービス,info@to-wa.info,警備スタッフ,警備スタッフ,2025-06-23 18:07:04,success,133_info@to-wa.info_20250623180704_1e9d8794,,【警備スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
133,株式会社ジェイエスエス,info@jss-group.co.jp,スイミングコーチ,スイミングコーチ,2025-06-23 18:07:09,success,134_info@jss-group.co.jp_20250623180709_ea499188,,【スイミングコーチの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
134,株式会社ピンスポット,info@pinspot.co.jp,アートディレクター,アートディレクター,2025-06-23 18:07:14,success,135_info@pinspot.co.jp_20250623180714_46fabf09,,【アートディレクターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
135,株式会社クリエイティブワン,info@creativeone.co.jp,プログラマー,プログラマー,2025-06-23 18:07:19,success,136_info@creativeone.co.jp_20250623180719_98df5515,,【プログラマーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
136,株式会社ディー・ケイ,info@dk-corp.co.jp,警備・駆け付けスタッフ,警備・駆け付けスタッフ,2025-06-23 18:07:24,success,137_info@dk-corp.co.jp_20250623180724_97a68a9e,,【警備・駆け付けスタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
137,西尾レントオール株式会社,info@nishio-rent.co.jp,営業職,営業職,2025-06-23 18:07:30,success,138_info@nishio-rent.co.jp_20250623180729_4f454458,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
138,株式会社オーツー,info@otu.co.jp,営業職,営業職,2025-06-23 18:07:35,success,139_info@otu.co.jp_20250623180735_cca8245a,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
139,株式会社ジェイブ,info@jvb.co.jp,サポートスタッフ,サポートスタッフ,2025-06-23 18:07:40,success,140_info@jvb.co.jp_20250623180740_de82a1ab,,【サポートスタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
140,株式会社サカイ引越センター,info@recruit.hikkoshi-sakai.co.jp,見積りスタッフ/営業職,見積りスタッフ,2025-06-23 18:07:45,success,141_info@recruit.hikkoshi-sakai.co.jp_20250623180745_7e374b92,,【見積りスタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
141,株式会社大阪ガスファシリティーズ,info@ogfa.co.jp,設備管理スタッフ,設備管理スタッフ,2025-06-23 18:07:50,success,142_info@ogfa.co.jp_20250623180750_13e466f1,,【設備管理スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
142,パナソニックエイジフリー株式会社,info@panasonic.co.jp,営業職,営業職,2025-06-23 18:07:55,success,143_info@panasonic.co.jp_20250623180755_2cf5a14e,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
143,株式会社富士コーポレーション,info@fujicorp.org,製造スタッフ,製造スタッフ,2025-06-23 18:08:00,success,144_info@fujicorp.org_20250623180800_696dd36f,,【製造スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
144,株式会社ランドウィック,info@randwick.co.jp,ルート営業,ルート営業,2025-06-23 18:08:06,success,145_info@randwick.co.jp_20250623180805_cb5105fa,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
145,日本電気機器株式会社,info@nichidengroup.com,社内SE,社内SE,2025-06-23 18:08:11,success,146_info@nichidengroup.com_20250623180811_bf4cb78c,,【社内SEの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
146,八文字会計事務所,info@hachimonji.gr.jp,税理士アシスタント,税理士アシスタント,2025-06-23 18:08:16,success,147_info@hachimonji.gr.jp_20250623180816_d6c27cb7,,【税理士アシスタントの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
147,株式会社ひごペットフレンドリー,info@higopet.com,店舗スタッフ,店舗スタッフ,2025-06-23 18:08:21,success,148_info@higopet.com_20250623180821_33ffdc29,,【店舗スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
